appid,name,key_0,game_name,rank,meta_score,user_score,critic_url,4Players.de,Adventure Gamers,Android Central,App Trigger,Areajugones,Atomix,Attack of the Fanboy,AusGamers,BaziCenter,Buried Treasure,But Why Tho?,CD-Action,CGMagazine,COGconnected,Carole Quintaine,Checkpoint Gaming,Comicbook.com,Critical Hit,Cubed3,Cultured Vultures,DarkStation,DarkZero,Destructoid,Dexerto,Digital Chumps,Digital Spy,Digital Trends,Digitally Downloaded,DualShockers,EGM,Easy Allies,Edge Magazine,Eurogamer Italy,Everyeye.it,Finger Guns,Forbes,GAMES.CH,GAMINGbible,GMW3,GRYOnline.pl,Game Debate,Game Informer,Game Over Online,Game Rant,Game Revolution,Game World Navigator Magazine,GameByte,GameCrate,GameCritics,GameGrin,GameMAG,GameOver.gr,GameSkinny,GameSpace,GameSpew,GameSpot,GameStar,GameWatcher,Gameblog.fr,Gamepressure,Gamer Escape,Gamer.nl,Gamer.no,Gamers Heroes,Gamers' Temple,Gamersky,Games.cz,GamesBeat,GamesHub,GamesRadar+,Gaming Age,Gaming Nexus,GamingBolt,GamingTrend,Gfinity,God is a Geek,Guardian,Hardcore Gamer,Het Nieuwsblad,Hey Poor Player,Hobby Consolas,Hooked Gamers,IGN,IGN Adria,IGN France,IGN Italia,IGN Japan,IGN Portugal,IGN Spain,Impulsegamer,Inverse,JeuxActu,Jeuxvideo.com,KeenGamer,LEVEL (Czech Republic),Launcher (The Washington Post),LevelUp,M3,MGG Spain,MMORPG.com,Malditos Nerds,Meristation,Merlin'in Kazanı (Turkey),Metro GameCentral,Millenium,Multiplayer.it,NME,New Game Network,Noisy Pixel,PC Gamer,PC Games,PC Invasion,PCGamesN,PCMag,PLAY! Zine,PlaySense,Player 2,Power Unlimited,Press Start Australia,Quarter to Three,RPG Fan,RPG Site,RPGamer,Ragequit.gr,Riot Pixels,Road to VR,SECTOR.sk,Screen Rant,Shacknews,Shindig,Siliconera,Slant Magazine,Softpedia,SpazioGames,Stevivor,Telegraph,The Digital Fix,The Games Machine,The Indie Game Website,The Loadout,The Mako Reactor,The Overpowered Noobs,TheGamer,TheSixthAxis,TierraGamer,TrueGaming,Trusted Reviews,Twinfinite,UploadVR,VG247,VGC,Vandal,Vgames,Washington Post,Wccftech,We Got This Covered,WellPlayed,Windows Central,Worth Playing,XGN,ZTGD,null_404,parsed_name_x,parsed_name_y
1458100,Cozy Grove,cozygrove,Cozy Grove,200,72,5.9,/game/pc/cozy-grove/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,80.0,,,,,,,,,,,,,,,70.0,,,,,,,,,65.0,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,CozyGrove,CozyGrove
1452500,The Good Life,thegoodlife,The Good Life,293,62,5.7,/game/pc/the-good-life/critic-reviews,,,,,,,,,,,,,,,,50.0,,,,,,,60.0,,,,,,,,,50.0,,,,,,,,,,70.0,,,,,,,70.0,,,,,,,60.0,,,,,,,,,,,60.0,,,,,,,80.0,,50.0,,50.0,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,60.0,79.0,,50.0,,,,,,,,,75.0,,,,59.0,,,,,,,,,,,,,,50.0,,,,,70.0,,,,,,,,,,,70.0,,,,,,,,TheGoodLife,TheGoodLife
1451120,Sunlight,sunlight,Sunlight,40,83,4.7,/game/pc/sunlight/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,90.0,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,Sunlight,Sunlight
1449320,Alfred Hitchcock - Vertigo,alfredhitchcockvertigo,Alfred Hitchcock: Vertigo,259,67,7.7,/game/pc/alfred-hitchcock-vertigo/critic-reviews,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,76.0,65.0,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,AlfredHitchcockVertigo,AlfredHitchcockVertigo
1436920,Tandem: a tale of shadows,tandemataleofshadows,Tandem: A Tale of Shadows,193,73,tbd,/game/pc/tandem-a-tale-of-shadows/critic-reviews,,70.0,,,,,,,,,,,,70.0,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,40.0,,,,,,,,,,,80.0,,,,,,70.0,,70.0,,85.0,,,,,,,,78.0,,,,,,,,,,,,,,,,80.0,60.0,,,,,70.0,,,,,,,,,,,,,,,,90.0,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,TandemATaleofShadows,Tandemataleofshadows
1426210,It Takes Two,ittakestwo,It Takes Two,7,88,8.8,/game/pc/it-takes-two/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,93.0,,,,,,80.0,,,,,,,,,,95.0,,,,,,90.0,87.0,,,,,,,,,95.0,,,,,,,,,,,,,,,,,90.0,,,,,90.0,,,,,90.0,,,,,,,,,92.0,,,95.0,,,,,80.0,90.0,95.0,,,,,,,,,,,,,,,,,90.0,,,,,83.0,,80.0,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,ItTakesTwo,ItTakesTwo
1423600,BLUE REFLECTION: Second Light,bluereflectionsecondlight,Blue Reflection: Second Light,114,78,8.2,/game/pc/blue-reflection-second-light/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,70.0,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,81.0,,,,,,80.0,,BlueReflectionSecondLight,BLUEREFLECTIONSecondLight
1422420,Dodgeball Academia,dodgeballacademia,Dodgeball Academia,131,77,8.3,/game/pc/dodgeball-academia/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,80.0,,,,,65.0,,,,,,,,,84.0,70.0,,,,,,70.0,,,,,,,,,,,80.0,,,,,70.0,,,,,,,,,,,,,,,,,,,DodgeballAcademia,DodgeballAcademia
1422410,Into the Pit,intothepit,Into the Pit,266,67,3.5,/game/pc/into-the-pit/critic-reviews,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,65.0,,,65.0,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,IntothePit,IntothePit
1419290,Out of Line,outofline,Out of Line,241,69,8.3,/game/pc/out-of-line/critic-reviews,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,80.0,,,,,,77.0,,,,,,,55.0,,,,,,,,70.0,,60.0,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,OutofLine,OutofLine
1414850,Nickelodeon All-Star Brawl,nickelodeonallstarbrawl,Nickelodeon All-Star Brawl,288,63,6.8,/game/pc/nickelodeon-all-star-brawl/critic-reviews,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,70.0,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NickelodeonAllStarBrawl,NickelodeonAllStarBrawl
1413870,Shadow Man Remastered,shadowmanremastered,Shadow Man: Remastered,285,64,7.5,/game/pc/shadow-man-remastered/critic-reviews,60.0,,,,,,,,,,,65.0,,,,,,,50.0,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,75.0,,,,,,,,,,,,70.0,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,40.0,,,,90.0,,ShadowManRemastered,ShadowManRemastered
1413480,Shin Megami Tensei III Nocturne HD Remaster,shinmegamitenseiiiinocturnehdremaster,Shin Megami Tensei III: Nocturne HD Remaster,95,79,7.4,/game/pc/shin-megami-tensei-iii-nocturne-hd-remaster/critic-reviews,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,80.0,,,,,,,,,,,,,70.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,,,85.0,,,,,,,,85.0,,,,,,,,,,,75.0,,,,,,,,,,,,60.0,,,,,,70.0,80.0,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,ShinMegamiTenseiIIINocturneHDRemaster,ShinMegamiTenseiIIINocturneHDRemaster
1406850,The Legend of Tianding,thelegendoftianding,The Legend of Tianding,77,80,8.4,/game/pc/the-legend-of-tianding/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,79.0,,,,,83.0,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,70.0,,,,,,,80.0,,,,,,,,,,,,,,,89.0,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,TheLegendofTianding,TheLegendofTianding
1400970,The Elder Scrolls Online: Blackwood,theelderscrollsonlineblackwood,The Elder Scrolls Online: Blackwood,164,75,4.5,/game/pc/the-elder-scrolls-online-blackwood/critic-reviews,,,,,,,,,,,,,70.0,,,60.0,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,86.0,,,,,,,,,,,,,,83.0,,,85.0,60.0,,,,,,,70.0,70.0,,,,,,,,,,70.0,,,,,,,75.0,,,,,,75.0,,,,,90.0,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,80.0,,,,,,70.0,,,,,,,,,80.0,,,,,,,70.0,,,TheElderScrollsOnlineBlackwood,TheElderScrollsOnlineBlackwood
1393750,Ocean's Heart,oceansheart,Ocean's Heart,93,79,5.9,/game/pc/oceans-heart/critic-reviews,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,70.0,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,70.0,,,,,,,80.0,,,85.0,,,,,,90.0,,,,,80.0,,,,,,,,,,,,,,,,,,,OceansHeart,OceansHeart
1393111,The Outer Worlds: Murder on Eridanos,theouterworldsmurderoneridanos,The Outer Worlds: Murder on Eridanos,154,76,7.3,/game/pc/the-outer-worlds-murder-on-eridanos/critic-reviews,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,70.0,75.0,,,,,,,,,,,85.0,,,,,,,,90.0,,90.0,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,70.0,,,74.0,,,,,,,60.0,,,,,,,85.0,,,78.0,,,70.0,,,90.0,,,75.0,,,,,,,,,,70.0,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,70.0,,,,,,,,TheOuterWorldsMurderonEridanos,TheOuterWorldsMurderonEridanos
1388880,Doki Doki Literature Club Plus!,dokidokiliteratureclubplus!,Doki Doki Literature Club Plus!,60,81,8.8,/game/pc/doki-doki-literature-club-plus!/critic-reviews,,,,,,,,,,,,,,,,70.0,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,80.0,,,,,,,,,,88.0,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,DokiDokiLiteratureClubPlus!,DokiDokiLiteratureClubPlus!
1388590,Yakuza 6: The Song of Life,yakuza6thesongoflife,Yakuza 6: The Song of Life,48,82,8.5,/game/pc/yakuza-6-the-song-of-life/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,80.0,,,70.0,79.0,,,,80.0,,,,,,,81.0,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,Yakuza6TheSongofLife,Yakuza6TheSongofLife
1386870,Wraith: The Oblivion - Afterlife,wraiththeoblivionafterlife,Wraith: The Oblivion - Afterlife,149,76,7.8,/game/pc/wraith-the-oblivion---afterlife/critic-reviews,78.0,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,90.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,82.0,,,,,,,,,,,,75.0,,70.0,,78.0,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,40.0,,,,,,80.0,,,78.0,,,,,,,76.0,,,,WraithTheOblivionAfterlife,WraithTheOblivionAfterlife
1386780,City of Gangsters,cityofgangsters,City of Gangsters,265,67,6.8,/game/pc/city-of-gangsters/critic-reviews,,,,,,,,75.0,,,,60.0,,70.0,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,70.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CityofGangsters,CityofGangsters
1385100,Insurmountable,insurmountable,Insurmountable,172,74,tbd,/game/pc/insurmountable/critic-reviews,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,58.0,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,85.0,,,,Insurmountable,Insurmountable
1384160,GUILTY GEAR -STRIVE-,guiltygearstrive,Guilty Gear -Strive-,17,85,7.9,/game/pc/guilty-gear--strive-/critic-reviews,,,,,,,,,,,,,,,,80.0,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,81.0,,,80.0,100.0,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,80.0,,,,,GuiltyGearStrive,GUILTYGEARSTRIVE
1382330,Persona 5 Strikers,persona5strikers,Persona 5 Strikers,141,76,6.7,/game/pc/persona-5-strikers/critic-reviews,,,,,,,,,,,,,,,,,,,70.0,,,80.0,,,,,,,,,80.0,60.0,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,85.0,,,,,,,,,,,,85.0,,,,,63.0,,85.0,80.0,,,,,,,,,80.0,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,70.0,,,,100.0,,,,,Persona5Strikers,Persona5Strikers
1380420,Grow: Song of the Evertree,growsongoftheevertree,Grow: Song of the Evertree,106,78,8.4,/game/pc/grow-song-of-the-evertree/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,90.0,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,70.0,74.0,,,,,,,,,,,,,,,,,,,,70.0,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,GrowSongoftheEvertree,GrowSongoftheEvertree
1374840,Dark Deity,darkdeity,Dark Deity,72,80,4.4,/game/pc/dark-deity/critic-reviews,,,,,,,,,,,95.0,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,90.0,,,,,,,,,,,,,,80.0,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,90.0,,,,,,,,91.0,,,,,,,70.0,,,80.0,,,,,,,,,,,,,90.0,,,,,,,,,70.0,,,,,,,,,,DarkDeity,DarkDeity
1369520,Strangeland,strangeland,Strangeland,171,74,7.9,/game/pc/strangeland/critic-reviews,,80.0,,,,,,,,,,80.0,,,,,,,80.0,,,,,,83.0,,,,,,,60.0,,,,,,,,,,,,,,,,,85.0,,70.0,80.0,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,78.0,,,,,,,,69.0,,,,,,,,,,,,,,84.0,,,,,,90.0,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,Strangeland,Strangeland
1368870,Field of Glory II: Medieval,fieldofgloryiimedieval,Field of Glory II: Medieval,158,75,7.3,/game/pc/field-of-glory-ii-medieval/critic-reviews,65.0,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,73.0,85.0,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,85.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FieldofGloryIIMedieval,FieldofGloryIIMedieval
1368571,The Sims™ 4 Paranormal Stuff Pack,thesims4paranormalstuffpack,The Sims 4: Paranormal Stuff Pack,152,76,tbd,/game/pc/the-sims-4-paranormal-stuff-pack/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,70.0,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,80.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,80.0,,,,60.0,,,,,,,,,,,,,,,TheSims4ParanormalStuffPack,TheSims4ParanormalStuffPack
1367590,Tormented Souls,tormentedsouls,Tormented Souls,157,75,7.7,/game/pc/tormented-souls/critic-reviews,,,,,,,,,,,,,,70.0,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,85.0,56.0,,,,,,70.0,,80.0,,,82.0,,,,,,,,80.0,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,72.0,,,,,,70.0,,,,,,,,,,,,79.0,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,TormentedSouls,TormentedSouls
1361400,Moonglow Bay,moonglowbay,Moonglow Bay,279,65,tbd,/game/pc/moonglow-bay/critic-reviews,,,,,,,,,,,,,,,,,,,,85.0,,,,,70.0,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,60.0,,,,,,,,,70.0,,,,70.0,,,,,,,,,,,MoonglowBay,MoonglowBay
1341050,BALAN WONDERWORLD,balanwonderworld,Balan Wonderworld,319,38,6.5,/game/pc/balan-wonderworld/critic-reviews,,,,,,65.0,,,,,,45.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,20.0,,,,,,,30.0,,,,20.0,,,,40.0,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,BalanWonderworld,BALANWONDERWORLD
1338770,Sniper Ghost Warrior Contracts 2,sniperghostwarriorcontracts2,Sniper Ghost Warrior Contracts 2,196,73,7.1,/game/pc/sniper-ghost-warrior-contracts-2/critic-reviews,71.0,,,,75.0,,,,,,,80.0,,75.0,,,,,,,,,,,84.0,,,,,,,,,65.0,,,,,,75.0,,,,,,,,,75.0,80.0,70.0,,,,,,75.0,,,,,,,,,,,,,,,,,75.0,60.0,,,,,,,,60.0,,,,,,,,,,80.0,,,,,,,,,,,,,,60.0,70.0,,80.0,,70.0,,,,,,,,,,,,90.0,,,,,,,,,75.0,,,,,,,,,,70.0,,,,,,,,,,,,70.0,,,,,,,,SniperGhostWarriorContracts2,SniperGhostWarriorContracts2
1337530,Maskmaker,maskmaker,Maskmaker,153,76,tbd,/game/pc/maskmaker/critic-reviews,76.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,85.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,70.0,,,,,,,,,,,Maskmaker,Maskmaker
1337100,Warhammer Age of Sigmar: Tempestfall,warhammerageofsigmartempestfall,Warhammer Age of Sigmar: Tempestfall,301,60,tbd,/game/pc/warhammer-age-of-sigmar-tempestfall/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,70.0,,,,,,,,,,,75.0,,,,,,,,,,,40.0,,,,,,,,,,67.0,,,,WarhammerAgeofSigmarTempestfall,WarhammerAgeofSigmarTempestfall
1336350,Elite Dangerous: Odyssey,elitedangerousodyssey,Elite: Dangerous - Odyssey,310,55,3.5,/game/pc/elite-dangerous---odyssey/critic-reviews,,,,,60.0,,50.0,,,,90.0,55.0,,,,,,,60.0,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,55.0,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,84.0,,,,,,,,,40.0,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,EliteDangerousOdyssey,EliteDangerousOdyssey
1335800,Don't Forget Me,dontforgetme,Don't Forget Me,292,62,tbd,/game/pc/dont-forget-me/critic-reviews,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,50.0,,,,,,,,,58.0,,,,,,,,,,,,,60.0,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,80.0,,,,,,DontForgetMe,DontForgetMe
1335790,Operation Tango,operationtango,Operation: Tango,219,71,7.8,/game/pc/operation-tango/critic-reviews,,80.0,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,70.0,60.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,70.0,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,OperationTango,OperationTango
1333470,Alex Kidd in Miracle World DX,alexkiddinmiracleworlddx,Alex Kidd in Miracle World DX,261,67,7.8,/game/pc/alex-kidd-in-miracle-world-dx/critic-reviews,,,,,75.0,80.0,,,,,,70.0,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,77.0,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,30.0,77.0,,,,,,,,,,,,,,,,,,AlexKiddinMiracleWorldDX,AlexKiddinMiracleWorldDX
1331210,Wolfstride,wolfstride,Wolfstride,101,79,tbd,/game/pc/wolfstride/critic-reviews,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,90.0,,,70.0,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,Wolfstride,Wolfstride
1328670,Mass Effect™ Legendary Edition,masseffectlegendaryedition,Mass Effect Legendary Edition,12,86,5.7,/game/pc/mass-effect-legendary-edition/critic-reviews,,,,,,,,,,,90.0,80.0,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,100.0,,,,,,,85.0,,,,,,,,,,,,,90.0,91.0,88.0,,,,,,,80.0,,,92.0,90.0,,,82.0,,,,,,80.0,80.0,,,,,,,90.0,,,,,85.0,85.0,,,,,90.0,,,90.0,,,,,,,,,,82.0,75.0,,,80.0,,,,,90.0,75.0,85.0,,,87.0,,,,,,,,,,,,,,,,,,,,,,92.0,,,MassEffectLegendaryEdition,MassEffectLegendaryEdition
1325900,Demon Turf,demonturf,Demon Turf,247,68,tbd,/game/pc/demon-turf/critic-reviews,,,,,,,,,,,,,,,,70.0,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,70.0,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,70.0,,,80.0,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DemonTurf,DemonTurf
1311070,Greak: Memories of Azur,greakmemoriesofazur,Greak: Memories of Azur,205,72,7.2,/game/pc/greak-memories-of-azur/critic-reviews,,,,,,,,,,,,60.0,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,70.0,,,80.0,,,,,,,,,,,,75.0,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GreakMemoriesofAzur,GreakMemoriesofAzur
1308880,FORECLOSED,foreclosed,Foreclosed,311,53,tbd,/game/pc/foreclosed/critic-reviews,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,70.0,,,70.0,,,60.0,,,,,,,,,,,,,41.0,,,,50.0,,,,,,,,,78.0,,,,,,,,,,,,,,,,,60.0,,,,,,,,Foreclosed,FORECLOSED
