game_name,rank,meta_score,user_score,critic_url,4Players.de,Adventure Gamers,Android Central,App Trigger,Areajugones,Atomix,Attack of the Fanboy,AusGamers,BaziCenter,Buried Treasure,But Why Tho?,CD-Action,CGMagazine,COGconnected,Carole Quintaine,Checkpoint Gaming,Comicbook.com,Critical Hit,Cubed3,Cultured Vultures,DarkStation,DarkZero,Destructoid,Dexerto,Digital Chumps,Digital Spy,Digital Trends,Digitally Downloaded,DualShockers,EGM,Easy Allies,Edge Magazine,Eurogamer Italy,Everyeye.it,Finger Guns,Forbes,GAMES.CH,GAMINGbible,GMW3,GRYOnline.pl,Game Debate,Game Informer,Game Over Online,Game Rant,Game Revolution,Game World Navigator Magazine,GameByte,GameCrate,GameCritics,GameGrin,GameMAG,GameOver.gr,GameSkinny,GameSpace,GameSpew,GameSpot,GameStar,GameWatcher,Gameblog.fr,Gamepressure,Gamer Escape,Gamer.nl,Gamer.no,Gamers Heroes,Gamers' Temple,Gamersky,Games.cz,GamesBeat,GamesHub,GamesRadar+,Gaming Age,Gaming Nexus,GamingBolt,GamingTrend,Gfinity,God is a Geek,Guardian,Hardcore Gamer,Het Nieuwsblad,Hey Poor Player,Hobby Consolas,Hooked Gamers,IGN,IGN Adria,IGN France,IGN Italia,IGN Japan,IGN Portugal,IGN Spain,Impulsegamer,Inverse,JeuxActu,Jeuxvideo.com,KeenGamer,LEVEL (Czech Republic),Launcher (The Washington Post),LevelUp,M3,MGG Spain,MMORPG.com,Malditos Nerds,Meristation,Merlin'in Kazanı (Turkey),Metro GameCentral,Millenium,Multiplayer.it,NME,New Game Network,Noisy Pixel,PC Gamer,PC Games,PC Invasion,PCGamesN,PCMag,PLAY! Zine,PlaySense,Player 2,Power Unlimited,Press Start Australia,Quarter to Three,RPG Fan,RPG Site,RPGamer,Ragequit.gr,Riot Pixels,Road to VR,SECTOR.sk,Screen Rant,Shacknews,Shindig,Siliconera,Slant Magazine,Softpedia,SpazioGames,Stevivor,Telegraph,The Digital Fix,The Games Machine,The Indie Game Website,The Loadout,The Mako Reactor,The Overpowered Noobs,TheGamer,TheSixthAxis,TierraGamer,TrueGaming,Trusted Reviews,Twinfinite,UploadVR,VG247,VGC,Vandal,Vgames,Washington Post,Wccftech,We Got This Covered,WellPlayed,Windows Central,Worth Playing,XGN,ZTGD,null_404
Inscryption,21.,85,8.7,/game/pc/inscryption/critic-reviews,,,,,,,,,,,,,80,90,,90,,,,75,,,75,,,,,,,,,70,80,90,,,,,,,,90,,,,71,,,75,,,80,,,,80,,86,,,90,80,,,,86,100,,,,,100,,,,,,90,,90,,95,90,,,,100,,,,,,85,,,,,,95,,90,90,,80,85,90,,,90,69,90,75,,,,,100,,,,,,,,77,,,80,,,,80,90,85,,,,80,,,,,,,82,,,,,,,88,,,,,90,,,,100,
The Forgotten City,22.,84,8.1,/game/pc/the-forgotten-city/critic-reviews,,100,,,,,,80,90,,,80,,,,,,,,,,,,,,,,,,,,80,80,,,,,,,,,90,,,,,,,70,,,,,80,,90,82,,,,,,100,,,,80,,,,,,,,,,,70,,100,,,90,,,84,,,,,,,80,,,,,,,,,,,,80,78,,73,75,84,90,90,,,,,100,,,,,,,,78,,,,,,,70,,,80,,,,90,,,,,,,,,80,,,,,,,85,,100,,,,,
Tales of Arise,23.,84,8.4,/game/pc/tales-of-arise/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,77,,,,100,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,80,,85,,,,,,,,,,,85,,,,,,,,,,85,,,,,,,,,90,90,80,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,85,
Atelier Ryza 2: Lost Legends & the Secret Fairy,24.,84,7.7,/game/pc/atelier-ryza-2-lost-legends-the-secret-fairy/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,90,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,80,,,,,,,
Everhood,25.,84,7.2,/game/pc/everhood/critic-reviews,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,90,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,85,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,90,,,,,,,,,,,,,,79,,,,,,,,,,
Shovel Knight Pocket Dungeon,26.,84,7.7,/game/pc/shovel-knight-pocket-dungeon/critic-reviews,,,,,,,,,,,,,85,,,,,,,,,,80,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,95,,,,95,,90,,80,80,,80,,,,,,,,,,,,,,,,,,,,,,,,90,,80,,,85,,,,,,,,,,,,,,,,90,90,,80,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,
Griftlands,27.,84,7.5,/game/pc/griftlands/critic-reviews,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,90,,,,,,,,,,86,85,,,,,,,,,,,,,,,,,,,,,,,
Fuga: Melodies of Steel,28.,84,8.3,/game/pc/fuga-melodies-of-steel/critic-reviews,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,80,,,,,,,,,100,,,,,,,,,,,,,,,,,,,90,,,,,,,80,,,,,,75,,,,,,,,,,,,,83,,,90,,,,,,,,,,,,70,90,,,,,,,,,,,,,,,,80,,,,,,80,,,,,,,,,,,,,,,90,,,
The Darkside Detective: A Fumble in the Dark,29.,84,8.1,/game/pc/the-darkside-detective-a-fumble-in-the-dark/critic-reviews,,90,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,80,,,85,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,
Unsighted,30.,84,7.7,/game/pc/unsighted/critic-reviews,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,95,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,70,,,,,,,,,88,80,,,,,,90,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,
