game_name,appid,total_reviews,pos_reviews,neg_reviews,rank,meta_score,user_score,critic_url,4Players.de,Adventure Gamers,Android Central,App Trigger,Areajugones,Atomix,Attack of the Fanboy,AusGamers,BaziCenter,Buried Treasure,But Why Tho?,CD-Action,CGMagazine,COGconnected,Carole Quintaine,Checkpoint Gaming,Comicbook.com,Critical Hit,Cubed3,Cultured Vultures,DarkStation,DarkZero,Destructoid,Dexerto,Digital Chumps,Digital Spy,Digital Trends,Digitally Downloaded,DualShockers,EGM,Easy Allies,Edge Magazine,Eurogamer Italy,Everyeye.it,Finger Guns,Forbes,GAMES.CH,GAMINGbible,GMW3,GRYOnline.pl,Game Debate,Game Informer,Game Over Online,Game Rant,Game Revolution,Game World Navigator Magazine,GameByte,GameCrate,GameCritics,GameGrin,GameMAG,GameOver.gr,GameSkinny,GameSpace,GameSpew,GameSpot,GameStar,GameWatcher,Gameblog.fr,Gamepressure,Gamer Escape,Gamer.nl,Gamer.no,Gamers Heroes,Gamers' Temple,Gamersky,Games.cz,GamesBeat,GamesHub,GamesRadar+,Gaming Age,Gaming Nexus,GamingBolt,GamingTrend,Gfinity,God is a Geek,Guardian,Hardcore Gamer,Het Nieuwsblad,Hey Poor Player,Hobby Consolas,Hooked Gamers,IGN,IGN Adria,IGN France,IGN Italia,IGN Japan,IGN Portugal,IGN Spain,Impulsegamer,Inverse,JeuxActu,Jeuxvideo.com,KeenGamer,LEVEL (Czech Republic),Launcher (The Washington Post),LevelUp,M3,MGG Spain,MMORPG.com,Malditos Nerds,Meristation,Merlin'in Kazanı (Turkey),Metro GameCentral,Millenium,Multiplayer.it,NME,New Game Network,Noisy Pixel,PC Gamer,PC Games,PC Invasion,PCGamesN,PCMag,PLAY! Zine,PlaySense,Player 2,Power Unlimited,Press Start Australia,Quarter to Three,RPG Fan,RPG Site,RPGamer,Ragequit.gr,Riot Pixels,Road to VR,SECTOR.sk,Screen Rant,Shacknews,Shindig,Siliconera,Slant Magazine,Softpedia,SpazioGames,Stevivor,Telegraph,The Digital Fix,The Games Machine,The Indie Game Website,The Loadout,The Mako Reactor,The Overpowered Noobs,TheGamer,TheSixthAxis,TierraGamer,TrueGaming,Trusted Reviews,Twinfinite,UploadVR,VG247,VGC,Vandal,Vgames,Washington Post,Wccftech,We Got This Covered,WellPlayed,Windows Central,Worth Playing,XGN,ZTGD,null_404,parsed_name_x,parsed_name_y
Wolfstride,1331210,246,232,14,101,79,tbd,/game/pc/wolfstride/critic-reviews,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,90.0,,,70.0,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,Wolfstride,Wolfstride
Mass Effect Legendary Edition,1328670,24642,22966,1676,12,86,5.7,/game/pc/mass-effect-legendary-edition/critic-reviews,,,,,,,,,,,90.0,80.0,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,100.0,,,,,,,85.0,,,,,,,,,,,,,90.0,91.0,88.0,,,,,,,80.0,,,92.0,90.0,,,82.0,,,,,,80.0,80.0,,,,,,,90.0,,,,,85.0,85.0,,,,,90.0,,,90.0,,,,,,,,,,82.0,75.0,,,80.0,,,,,90.0,75.0,85.0,,,87.0,,,,,,,,,,,,,,,,,,,,,,92.0,,,MassEffectLegendaryEdition,MassEffectLegendaryEdition
Demon Turf,1325900,177,162,15,247,68,tbd,/game/pc/demon-turf/critic-reviews,,,,,,,,,,,,,,,,70.0,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,70.0,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,70.0,,,80.0,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DemonTurf,DemonTurf
Greak: Memories of Azur,1311070,544,438,106,205,72,7.2,/game/pc/greak-memories-of-azur/critic-reviews,,,,,,,,,,,,60.0,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,70.0,,,80.0,,,,,,,,,,,,75.0,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GreakMemoriesofAzur,GreakMemoriesofAzur
Foreclosed,1308880,63,40,23,311,53,tbd,/game/pc/foreclosed/critic-reviews,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,70.0,,,70.0,,,60.0,,,,,,,,,,,,,41.0,,,,50.0,,,,,,,,,78.0,,,,,,,,,,,,,,,,,60.0,,,,,,,,Foreclosed,FORECLOSED
TOEM,1307580,647,640,7,91,79,7,/game/pc/toem/critic-reviews,,90.0,,,,,,,,,,80.0,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,90.0,,,,,,75.0,,,,,,,,,70.0,,,,80.0,,,90.0,,,,,,,,,,,,83.0,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,TOEM,TOEM
Lost Ruins,1306630,2759,2518,241,295,61,8.3,/game/pc/lost-ruins/critic-reviews,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,65.0,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LostRuins,LostRuins
Monster Energy Supercross - The Official Videogame 4,1304340,472,295,177,244,69,tbd,/game/pc/monster-energy-supercross---the-official-videogame-4/critic-reviews,,,,,,,,,,,,70.0,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,80.0,,,,,,,,,,,,,,,80.0,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,65.0,,,,70.0,70.0,70.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MonsterEnergySupercrossTheOfficialVideogame4,MonsterEnergySupercrossTheOfficialVideogame4
Toodee and Topdee,1303950,325,314,11,177,74,8.6,/game/pc/toodee-and-topdee/critic-reviews,,,,,,,,,,,,,,,,,,,,,,80.0,,,80.0,,,70.0,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,80.0,,,,,,,,,,ToodeeandTopdee,ToodeeandTopdee
Time Loader,1301950,170,164,6,89,79,6.8,/game/pc/time-loader/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,85.0,,,,,,,,,,,,,,,,,,,,,,90.0,,,,90.0,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TimeLoader,TimeLoader
Knockout City,1301210,5996,5268,728,83,80,6.4,/game/pc/knockout-city/critic-reviews,,,,,,80.0,70.0,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,75.0,,,,,,,80.0,,,,,,65.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,70.0,,80.0,,,,,,90.0,,,,,,,,,,75.0,,,,,,,,,,,,,75.0,,,,90.0,,,,,,,,,,,,,,,,,,,80.0,,,,,70.0,,,,76.0,,,,,80.0,,83.0,,,,,,,75.0,,,,,,80.0,,,,,KnockoutCity,KnockoutCity
Mighty Goose,1299360,477,408,69,215,71,7.4,/game/pc/mighty-goose/critic-reviews,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,80.0,,,,,,,,,,,,,,,,30.0,,,,,80.0,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,MightyGoose,MightyGoose
Olija,1297330,445,411,34,134,77,6.4,/game/pc/olija/critic-reviews,,,,,,,,80.0,,,,75.0,,82.0,,,,,,,60.0,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,90.0,80.0,,,,,80.0,,,70.0,,70.0,,,,,,,,,,,,,,,,80.0,60.0,,70.0,,,70.0,,,,,,,80.0,,,80.0,,,,,,,,,83.0,,,,,,,85.0,83.0,70.0,90.0,,,,,75.0,,75.0,,,,,,,,,70.0,90.0,,,,80.0,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,85.0,,Olija,Olija
THE SHORE,1297300,929,702,227,302,59,5.9,/game/pc/the-shore/critic-reviews,,,,,,,,,,72.0,,50.0,,,,,,70.0,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,60.0,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THESHORE,THESHORE
Forgotten Fields,1296980,50,47,3,305,59,tbd,/game/pc/forgotten-fields/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,30.0,,,,60.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,ForgottenFields,ForgottenFields
Archvale,1296360,1057,964,93,53,82,7.7,/game/pc/archvale/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,75.0,,,90.0,,,,,,,,,70.0,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archvale,Archvale
The Longest Road on Earth,1295790,244,214,30,218,71,5.8,/game/pc/the-longest-road-on-earth/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,70.0,,,,,60.0,,,,,,,,,70.0,,,,90.0,,,,,,,,,,,TheLongestRoadonEarth,TheLongestRoadonEarth
"Warhammer 40,000: Battlesector",1295500,2238,2034,204,169,74,7.6,/game/pc/warhammer-40000-battlesector/critic-reviews,,,,,,,,,,,,75.0,,82.0,,80.0,,,,60.0,,,,,,,,,,,,,70.0,70.0,,,,,,,,,,,,,,,75.0,,,,,,,,61.0,80.0,,,,,,,,,60.0,,,,,,,,,,,,,,,80.0,80.0,,,74.0,,,,96.0,,,,,,,,,,,,,,,,68.0,,,,74.0,,80.0,70.0,,,,,,,,,,,,74.0,,,,,,,,85.0,70.0,,,,72.0,,,,,,,,,,,,,,,,,,,,80.0,,,,,"Warhammer40,000Battlesector","Warhammer40,000Battlesector"
The Medium,1293160,6013,5358,655,163,75,7.2,/game/pc/the-medium/critic-reviews,,60.0,,65.0,60.0,,,,,,,,45.0,,,,,85.0,80.0,,90.0,70.0,60.0,,,,,,,,,,80.0,,,,,,,90.0,,68.0,90.0,,,,,75.0,90.0,85.0,80.0,,,90.0,,90.0,84.0,85.0,,,,,,95.0,70.0,85.0,,,,50.0,,,,,,,,80.0,,80.0,,,,,,,,,,,,,70.0,,60.0,,,,,,65.0,,70.0,,80.0,90.0,,62.0,,92.0,50.0,75.0,60.0,60.0,,,91.0,,,,,,,,69.0,,,,60.0,,,,,80.0,,,90.0,88.0,60.0,,,,,80.0,,,,,,,,,90.0,,,,,,80.0,,,,TheMedium,TheMedium
Sheltered 2,1289380,1314,673,641,299,60,tbd,/game/pc/sheltered-2/critic-reviews,,,,,,,,,,,,,,68.0,,70.0,,,,,,,,,,,,60.0,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,75.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,Sheltered2,Sheltered2
Disciples: Liberation,1287840,1845,1441,404,203,72,4.4,/game/pc/disciples-liberation/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,75.0,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,70.0,,,,,,75.0,,,,,,,86.0,,,,80.0,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,DisciplesLiberation,DisciplesLiberation
Tails of Iron,1283410,3533,3227,306,69,81,8.3,/game/pc/tails-of-iron/critic-reviews,,,,,,,,,,,,85.0,,85.0,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,70.0,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,90.0,,,,,,,,78.0,,,,82.0,,,,,,90.0,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,TailsofIron,TailsofIron
Loop Hero,1282730,26098,24602,1496,58,82,8.1,/game/pc/loop-hero/critic-reviews,68.0,,,,,,70.0,,,,,85.0,,88.0,,80.0,,,,,,,,,86.0,,,,,,,50.0,80.0,82.0,,,,60.0,,,,85.0,85.0,90.0,,,,,80.0,95.0,,,,,80.0,80.0,85.0,,80.0,,90.0,80.0,,80.0,88.0,,70.0,,,,,90.0,,,,90.0,,90.0,80.0,80.0,,98.0,80.0,,,80.0,,,80.0,90.0,,,75.0,,80.0,,,,86.0,,95.0,82.0,,,,88.0,,79.0,85.0,83.0,80.0,90.0,80.0,,,,,,,,,,,91.0,,,,80.0,90.0,90.0,,80.0,90.0,,,,,90.0,,,,,90.0,80.0,73.0,,,90.0,,,,85.0,,,,,,,,,,,LoopHero,LoopHero
The Dark Pictures Anthology: House of Ashes,1281590,3836,3424,412,197,73,7.9,/game/pc/the-dark-pictures-anthology-house-of-ashes/critic-reviews,,80.0,,,,,,,,,,,85.0,,,30.0,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,78.0,,,90.0,,,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,60.0,,,,,,,,,,,75.0,,,70.0,,,,,,,75.0,,,,,,,80.0,60.0,80.0,,,,,,,,,,,,,72.0,,,,80.0,,,20.0,,,,,,,,,,,80.0,,79.0,,,,,,,,,,90.0,,,,,,,,TheDarkPicturesAnthologyHouseofAshes,TheDarkPicturesAnthologyHouseofAshes
Steel Assault,1280300,170,147,23,129,77,tbd,/game/pc/steel-assault/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,85.0,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,80.0,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,SteelAssault,SteelAssault
Monster Hunter Stories 2: Wings of Ruin,1277400,12142,9840,2302,57,82,7.8,/game/pc/monster-hunter-stories-2-wings-of-ruin/critic-reviews,,,,,,,90.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,90.0,,,,,,,75.0,75.0,,,,,,,,,,,,,,,,,80.0,,,,,,,,80.0,,,85.0,,,,,,,,,,,,,,,,,,,80.0,,,,,80.0,90.0,80.0,80.0,,,,,,85.0,,,80.0,,,,,,,,,,,,,80.0,,,,,,,,,,,80.0,,,,80.0,,,,,80.0,,90.0,90.0,,,,,MonsterHunterStories2WingsofRuin,MonsterHunterStories2WingsofRuin
Ruined King: A League of Legends Story,1276790,7086,6354,732,73,80,7.7,/game/pc/ruined-king-a-league-of-legends-story/critic-reviews,,,,,,,,,,,,,,80.0,,70.0,,,,,,,,,85.0,,,,,,,,,85.0,,,,,,,,70.0,,,,,,,,,,,,,,,83.0,,,,,,,,,74.0,,,,,,,,,90.0,,,,,,,,,,80.0,83.0,,,,,,,80.0,,,,,,,,,,82.0,,80.0,85.0,80.0,,,75.0,80.0,,,,,,,79.0,,,84.0,80.0,,87.0,,,,,,,,,,,,,,88.0,,,,,,,82.0,,,,,,,83.0,,,90.0,,,,,,,,RuinedKingALeagueofLegendsStory,RuinedKingALeagueofLegendsStory
The Life and Suffering of Sir Brante,1272160,3545,3277,268,86,80,8.6,/game/pc/the-life-and-suffering-of-sir-brante/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,65.0,,,80.0,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,85.0,,,,68.0,,,,,,,,,,,,,75.0,80.0,,,,,,,,,,,,,,,,,,75.0,,85.0,,,,TheLifeandSufferingofSirBrante,TheLifeandSufferingofSirBrante
Silicon Dreams,1272070,136,133,3,67,81,tbd,/game/pc/silicon-dreams/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,65.0,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,SiliconDreams,SiliconDreams
Hot Wheels Unleashed,1271700,2930,2410,520,122,78,8.2,/game/pc/hot-wheels-unleashed/critic-reviews,,,,,,,,,,,,,,,,,,,,,,70.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,75.0,,,65.0,,,,,,,,,,,,95.0,,75.0,,,,,,90.0,,85.0,,,,,,,,,,,70.0,,,,,,,,,,,,75.0,,,78.0,,,70.0,65.0,,,,,,,,,,,,,,,,,,,,,,77.0,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,HotWheelsUnleashed,HOTWHEELSUNLEASHED
Adios,1271400,763,729,34,108,78,6.4,/game/pc/adios/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,70.0,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,65.0,,,75.0,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,80.0,,,,,,,,,80.0,,,,,,,,,,,Adios,Adios
Fights in Tight Spaces,1265820,1722,1626,96,125,78,7.4,/game/pc/fights-in-tight-spaces/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,90.0,,,,,,,,,,,,,,75.0,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,80.0,,,,,,,,,,,,78.0,80.0,,,83.0,,,,,,,83.0,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,90.0,,,,,,,,83.0,,,,,,,,,,,FightsinTightSpaces,FightsinTightSpaces
Blightbound,1263070,1175,799,376,304,59,tbd,/game/pc/blightbound/critic-reviews,,,,,,,,,,,,,,66.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,50.0,,,,,,,,,,,,,,,,,,,,,,60.0,,40.0,,50.0,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blightbound,Blightbound
Days Gone,1259420,30188,28187,2001,147,76,8.7,/game/pc/days-gone/critic-reviews,82.0,,,,80.0,,70.0,,,,80.0,90.0,80.0,75.0,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,65.0,,80.0,,,,90.0,,,80.0,90.0,,80.0,,80.0,,70.0,,,,,,,,80.0,,,,83.0,85.0,80.0,90.0,50.0,,,,40.0,,,,,,,,,70.0,,,,80.0,75.0,,,,,,,70.0,,80.0,76.0,60.0,75.0,80.0,,,80.0,63.0,80.0,,80.0,,60.0,,,,,,,,,80.0,,,,80.0,,70.0,,,,80.0,,,,88.0,,,,,70.0,,82.0,,,,,,,82.0,75.0,,,,,,88.0,,,,DaysGone,DaysGone
Song of Iron,1258220,268,212,56,220,71,3.8,/game/pc/song-of-iron/critic-reviews,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,60.0,,,,,,,,,,,SongofIron,SongofIron
Atelier Ryza 2: Lost Legends & the Secret Fairy,1257290,1860,1709,151,24,84,7.7,/game/pc/atelier-ryza-2-lost-legends-the-secret-fairy/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,90.0,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,90.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,80.0,,,,,,,,AtelierRyza2LostLegends&theSecretFairy,AtelierRyza2LostLegends&theSecretFairy
Deathloop,1252330,19437,15151,4286,11,86,5,/game/pc/deathloop/critic-reviews,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,74.0,100.0,,,100.0,,,,,,,85.0,80.0,80.0,70.0,,,,,,,,,,,,,,,,,,90.0,,,,97.0,100.0,,,,,90.0,,,,,80.0,,,,,,,90.0,,,,,75.0,,,80.0,,89.0,,90.0,100.0,,,,,,,,,,,82.0,77.0,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,Deathloop,DEATHLOOP
Farming Simulator 22,1248130,21979,19125,2854,111,78,5.7,/game/pc/farming-simulator-22/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,75.0,80.0,80.0,,,90.0,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,FarmingSimulator22,FarmingSimulator22
An Airport for Aliens Currently Run by Dogs,1246250,139,130,9,287,64,tbd,/game/pc/an-airport-for-aliens-currently-run-by-dogs/critic-reviews,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,65.0,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,70.0,,,,,,,,,,,,,,,,,,,AnAirportforAliensCurrentlyRunbyDogs,AnAirportforAliensCurrentlyRunbyDogs
Jurassic World Evolution 2,1244460,8524,6756,1768,136,77,6.4,/game/pc/jurassic-world-evolution-2/critic-reviews,,,,,80.0,,,,,,85.0,,,,,50.0,,,,,,,,,,,,,,,,,,80.0,,,,,,75.0,,,,,,,,,,,,,,90.0,,,80.0,65.0,,,,,,,,,60.0,,,80.0,,,,95.0,,,80.0,,,,,,70.0,,,75.0,,,,,,,80.0,,,,,,,,,,,,80.0,82.0,80.0,,,72.0,90.0,,70.0,,,,,,,,,,,,,,,50.0,90.0,,,,,65.0,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,JurassicWorldEvolution2,JurassicWorldEvolution2
Sword of the Necromancer,1243890,195,148,47,238,69,7.5,/game/pc/sword-of-the-necromancer/critic-reviews,58.0,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,60.0,,,,,,,,,,,,,,,,,,70.0,,85.0,,55.0,,,,,,93.0,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,SwordoftheNecromancer,SwordoftheNecromancer
Gods Will Fall,1243690,74,43,31,231,70,4.4,/game/pc/gods-will-fall/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,40.0,70.0,,60.0,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,65.0,,,,,,,,,65.0,,,,,,,,84.0,60.0,75.0,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,50.0,,,,,,,,,,,,80.0,,,,,,,,GodsWillFall,GodsWillFall
Halo Infinite,1240440,127403,99447,27956,75,80,7,/game/pc/halo-infinite/critic-reviews,,,,,,,70.0,,,,,,,76.0,,80.0,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,90.0,75.0,,75.0,,,,,,,,,,84.0,90.0,,80.0,,,,,,,70.0,,,,75.0,,,90.0,,,,80.0,80.0,,,,,,,,,,,,,,80.0,,,,80.0,,,,,,,,80.0,,100.0,,,78.0,80.0,85.0,80.0,90.0,,,,,,,,,,,65.0,,,,,,,60.0,,,,,,95.0,,80.0,,,,,,,,,,,,,,,80.0,,,,90.0,,,,HaloInfinite,HaloInfinite
Warhammer Age of Sigmar: Storm Ground,1233590,834,539,295,282,64,4.6,/game/pc/warhammer-age-of-sigmar-storm-ground/critic-reviews,66.0,,,,,,,,,,,,,84.0,,80.0,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,60.0,,,75.0,,,,,59.0,60.0,,70.0,,,,,,,,,,,,,,,60.0,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,WarhammerAgeofSigmarStormGround,WarhammerAgeofSigmarStormGround
Dice Legacy,1229460,704,502,202,226,70,tbd,/game/pc/dice-legacy/critic-reviews,,,,,,,,,,,,70.0,,82.0,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,70.0,,,,50.0,,,,63.0,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,60.0,72.0,,,,,,,70.0,,,,,,,,,,,,70.0,85.0,,,,70.0,70.0,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,DiceLegacy,DiceLegacy
