game_name,appid,total_reviews,pos_reviews,neg_reviews,rank,meta_score,user_score,critic_url,4Players.de,Adventure Gamers,Android Central,App Trigger,Areajugones,Atomix,Attack of the Fanboy,AusGamers,BaziCenter,Buried Treasure,But Why Tho?,CD-Action,CGMagazine,COGconnected,Carole Quintaine,Checkpoint Gaming,Comicbook.com,Critical Hit,Cubed3,Cultured Vultures,DarkStation,DarkZero,Destructoid,Dexerto,Digital Chumps,Digital Spy,Digital Trends,Digitally Downloaded,DualShockers,EGM,Easy Allies,Edge Magazine,Eurogamer Italy,Everyeye.it,Finger Guns,Forbes,GAMES.CH,GAMINGbible,GMW3,GRYOnline.pl,Game Debate,Game Informer,Game Over Online,Game Rant,Game Revolution,Game World Navigator Magazine,GameByte,GameCrate,GameCritics,GameGrin,GameMAG,GameOver.gr,GameSkinny,GameSpace,GameSpew,GameSpot,GameStar,GameWatcher,Gameblog.fr,Gamepressure,Gamer Escape,Gamer.nl,Gamer.no,Gamers Heroes,Gamers' Temple,Gamersky,Games.cz,GamesBeat,GamesHub,GamesRadar+,Gaming Age,Gaming Nexus,GamingBolt,GamingTrend,Gfinity,God is a Geek,Guardian,Hardcore Gamer,Het Nieuwsblad,Hey Poor Player,Hobby Consolas,Hooked Gamers,IGN,IGN Adria,IGN France,IGN Italia,IGN Japan,IGN Portugal,IGN Spain,Impulsegamer,Inverse,JeuxActu,Jeuxvideo.com,KeenGamer,LEVEL (Czech Republic),Launcher (The Washington Post),LevelUp,M3,MGG Spain,MMORPG.com,Malditos Nerds,Meristation,Merlin'in Kazanı (Turkey),Metro GameCentral,Millenium,Multiplayer.it,NME,New Game Network,Noisy Pixel,PC Gamer,PC Games,PC Invasion,PCGamesN,PCMag,PLAY! Zine,PlaySense,Player 2,Power Unlimited,Press Start Australia,Quarter to Three,RPG Fan,RPG Site,RPGamer,Ragequit.gr,Riot Pixels,Road to VR,SECTOR.sk,Screen Rant,Shacknews,Shindig,Siliconera,Slant Magazine,Softpedia,SpazioGames,Stevivor,Telegraph,The Digital Fix,The Games Machine,The Indie Game Website,The Loadout,The Mako Reactor,The Overpowered Noobs,TheGamer,TheSixthAxis,TierraGamer,TrueGaming,Trusted Reviews,Twinfinite,UploadVR,VG247,VGC,Vandal,Vgames,Washington Post,Wccftech,We Got This Covered,WellPlayed,Windows Central,Worth Playing,XGN,ZTGD,null_404,parsed_name_x,parsed_name_y
Star Wars Pinball VR,1530770,138,53,85,61,81,tbd,/game/pc/star-wars-pinball-vr/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,,80.0,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,65.0,90.0,,,80.0,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,90.0,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,80.0,,,,,80.0,,,,,,,,,,,,,,StarWarsPinballVR,StarWarsPinballVR
The Magnificent Trufflepigs,1529550,116,67,49,271,66,5,/game/pc/the-magnificent-trufflepigs/critic-reviews,,50.0,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,60.0,70.0,,,,,,,,,,,,,,,,55.0,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,80.0,,,,80.0,,,,,,,,,,,,,,68.0,,,,,,,,60.0,,,,,,,,,,65.0,,,,,75.0,,,,,,,,,,,60.0,80.0,,,,50.0,,,,,,50.0,,,,,60.0,,,,90.0,,,,70.0,,,,,,,,,,,TheMagnificentTrufflepigs,TheMagnificentTrufflepigs
Orcs Must Die! 3,1522820,7361,6234,1127,128,77,6.8,/game/pc/orcs-must-die!-3/critic-reviews,78.0,,,,,,,,,,,85.0,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,81.0,,,,,,,,,,,,,,83.0,72.0,,,,90.0,,,,,,,,,78.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,OrcsMustDie!3,OrcsMustDie!3
Wasteland 3: The Battle of Steeltown,1522650,188,115,73,184,73,7.5,/game/pc/wasteland-3-the-battle-of-steeltown/critic-reviews,,,,,,,,,,,,70.0,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,70.0,,,,,,,,,,,,,80.0,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,80.0,,,,80.0,,,,Wasteland3TheBattleofSteeltown,Wasteland3TheBattleofSteeltown
Demon Skin,1522140,88,73,15,316,48,7.4,/game/pc/demon-skin/critic-reviews,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,60.0,,50.0,,,,,,,,,,,68.0,,,40.0,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,70.0,,,,,,DemonSkin,DemonSkin
Aeterna Noctis,1517970,302,246,56,174,74,7.9,/game/pc/aeterna-noctis/critic-reviews,,,,,70.0,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,60.0,63.0,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,77.0,,,,,,,,80.0,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,67.0,,,,,,,,,,,,,,,,,,80.0,,,,,,,70.0,,,,AeternaNoctis,AeternaNoctis
Battlefield 2042,1517290,122052,35155,86897,253,68,2.1,/game/pc/battlefield-2042/critic-reviews,,,,,,,80.0,40.0,,,,,60.0,90.0,,80.0,,,,,,,,75.0,,,90.0,,,100.0,70.0,,80.0,75.0,,,80.0,,,70.0,,,65.0,,,,60.0,,,45.0,,,60.0,40.0,,70.0,71.0,70.0,80.0,,50.0,55.0,40.0,70.0,,87.0,,,40.0,70.0,75.0,65.0,,,40.0,,40.0,70.0,60.0,,84.0,,70.0,,,,,70.0,,,,85.0,90.0,,,,40.0,60.0,,,,78.0,65.0,,80.0,78.0,60.0,66.0,90.0,80.0,70.0,70.0,70.0,60.0,,80.0,,75.0,85.0,,,,,,40.0,,,,50.0,,,,75.0,83.0,45.0,,,90.0,,,,,40.0,60.0,,80.0,,90.0,,60.0,,70.0,60.0,,,50.0,80.0,70.0,,,,,Battlefield2042,Battlefield2042
The Ramp,1506510,881,849,32,50,82,tbd,/game/pc/the-ramp/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,100.0,,,,,,,,75.0,,,,88.0,,,,,,,,,,,,,,,,,,,,,,80.0,70.0,,,,,,,,,,,,,,,80.0,,,,,,,,80.0,,,,,,,,,,,TheRamp,TheRamp
Hoa,1484900,1467,1326,141,222,71,8.3,/game/pc/hoa/critic-reviews,,,,,,,,,,,,70.0,,,,70.0,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,70.0,,,80.0,,,,,,,,,,,,,,,,,,,,80.0,,,,,69.0,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,Hoa,Hoa
Demeo,1484280,1062,974,88,44,83,8.2,/game/pc/demeo/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,81.0,,,,,100.0,,,,,,100.0,,,80.0,,,,,,,70.0,,,,Demeo,Demeo
